,TransactionNo,Items,Daypart,DayType,Year,Month
0,1,Bread,Morning,Weekend,2016,10
1,2,Scandinavian,Morning,Weekend,2016,10
2,2,Scandinavian,Morning,Weekend,2016,10
3,3,Hot chocolate,Morning,Weekend,2016,10
4,3,Jam,Morning,Weekend,2016,10
5,3,Cookies,Morning,Weekend,2016,10
6,4,Muffin,Morning,Weekend,2016,10
7,5,Coffee,Morning,Weekend,2016,10
8,5,Pastry,Morning,Weekend,2016,10
9,5,Bread,Morning,Weekend,2016,10
10,6,Medialuna,Morning,Weekend,2016,10
11,6,Pastry,Morning,Weekend,2016,10
12,6,Muffin,Morning,Weekend,2016,10
13,7,Medialuna,Morning,Weekend,2016,10
14,7,Pastry,Morning,Weekend,2016,10
15,7,Coffee,Morning,Weekend,2016,10
16,7,Tea,Morning,Weekend,2016,10
17,8,Pastry,Morning,Weekend,2016,10
18,8,Bread,Morning,Weekend,2016,10
19,9,Bread,Morning,Weekend,2016,10
20,9,Muffin,Morning,Weekend,2016,10
21,10,Scandinavian,Morning,Weekend,2016,10
22,10,Medialuna,Morning,Weekend,2016,10
23,11,Bread,Morning,Weekend,2016,10
24,11,Medialuna,Morning,Weekend,2016,10
25,11,Bread,Morning,Weekend,2016,10
26,12,Jam,Morning,Weekend,2016,10
27,12,Coffee,Morning,Weekend,2016,10
28,12,Tartine,Morning,Weekend,2016,10
29,12,Pastry,Morning,Weekend,2016,10
30,12,Tea,Morning,Weekend,2016,10
31,13,Basket,Morning,Weekend,2016,10
32,13,Bread,Morning,Weekend,2016,10
33,13,Coffee,Morning,Weekend,2016,10
34,14,Bread,Morning,Weekend,2016,10
35,14,Medialuna,Morning,Weekend,2016,10
36,14,Pastry,Morning,Weekend,2016,10
37,15,Mineral water,Morning,Weekend,2016,10
38,15,Scandinavian,Morning,Weekend,2016,10
39,16,Bread,Morning,Weekend,2016,10
40,16,Medialuna,Morning,Weekend,2016,10
41,16,Coffee,Morning,Weekend,2016,10
42,17,Hot chocolate,Morning,Weekend,2016,10
43,18,Farm House,Morning,Weekend,2016,10
44,19,Farm House,Morning,Weekend,2016,10
45,19,Bread,Morning,Weekend,2016,10
46,20,Bread,Morning,Weekend,2016,10
47,20,Medialuna,Morning,Weekend,2016,10
48,21,Coffee,Morning,Weekend,2016,10
49,21,Coffee,Morning,Weekend,2016,10
50,21,Medialuna,Morning,Weekend,2016,10
51,21,Bread,Morning,Weekend,2016,10
52,22,Jam,Morning,Weekend,2016,10
53,23,Scandinavian,Morning,Weekend,2016,10
54,23,Muffin,Morning,Weekend,2016,10
55,24,Bread,Morning,Weekend,2016,10
56,25,Scandinavian,Morning,Weekend,2016,10
57,26,Fudge,Morning,Weekend,2016,10
58,27,Scandinavian,Morning,Weekend,2016,10
59,28,Coffee,Morning,Weekend,2016,10
60,28,Bread,Morning,Weekend,2016,10
61,29,Bread,Morning,Weekend,2016,10
62,29,Jam,Morning,Weekend,2016,10
63,30,Bread,Morning,Weekend,2016,10
64,31,Basket,Morning,Weekend,2016,10
65,32,Scandinavian,Morning,Weekend,2016,10
66,32,Muffin,Morning,Weekend,2016,10
67,33,Coffee,Morning,Weekend,2016,10
68,34,Coffee,Morning,Weekend,2016,10
69,34,Muffin,Morning,Weekend,2016,10
70,35,Muffin,Morning,Weekend,2016,10
71,35,Scandinavian,Morning,Weekend,2016,10
72,36,Tea,Morning,Weekend,2016,10
73,36,Bread,Morning,Weekend,2016,10
74,37,Coffee,Morning,Weekend,2016,10
75,37,Bread,Morning,Weekend,2016,10
76,38,Bread,Morning,Weekend,2016,10
77,38,Tea,Morning,Weekend,2016,10
78,39,Scandinavian,Morning,Weekend,2016,10
79,40,Juice,Morning,Weekend,2016,10
80,40,Tartine,Morning,Weekend,2016,10
81,40,Coffee,Morning,Weekend,2016,10
82,40,Muffin,Morning,Weekend,2016,10
83,41,Scandinavian,Morning,Weekend,2016,10
84,42,Bread,Morning,Weekend,2016,10
85,42,Tea,Morning,Weekend,2016,10
86,43,Scandinavian,Afternoon,Weekend,2016,10
87,43,Fudge,Afternoon,Weekend,2016,10
88,44,Coffee,Afternoon,Weekend,2016,10
89,44,Medialuna,Afternoon,Weekend,2016,10
90,45,Coffee,Afternoon,Weekend,2016,10
91,45,Hot chocolate,Afternoon,Weekend,2016,10
92,45,Medialuna,Afternoon,Weekend,2016,10
93,46,Coffee,Afternoon,Weekend,2016,10
94,47,Ella's Kitchen Pouches,Afternoon,Weekend,2016,10
95,47,Juice,Afternoon,Weekend,2016,10
96,47,Bread,Afternoon,Weekend,2016,10
97,47,Muffin,Afternoon,Weekend,2016,10
98,47,Jam,Afternoon,Weekend,2016,10
99,48,Coffee,Afternoon,Weekend,2016,10
100,49,Coffee,Afternoon,Weekend,2016,10
101,49,Coffee,Afternoon,Weekend,2016,10
102,49,Medialuna,Afternoon,Weekend,2016,10
103,50,Bread,Afternoon,Weekend,2016,10
104,50,Victorian Sponge,Afternoon,Weekend,2016,10
105,51,Bread,Afternoon,Weekend,2016,10
106,52,Scandinavian,Afternoon,Weekend,2016,10
107,54,Bread,Afternoon,Weekend,2016,10
108,55,Frittata,Afternoon,Weekend,2016,10
109,55,Coffee,Afternoon,Weekend,2016,10
110,55,Tea,Afternoon,Weekend,2016,10
111,55,Hearty & Seasonal,Afternoon,Weekend,2016,10
112,56,Coffee,Afternoon,Weekend,2016,10
113,56,Frittata,Afternoon,Weekend,2016,10
